Member1	Member2
Casper Lassenius	Maria Paasivaara
Casper Lassenius	Michael Felderer
Casper Lassenius	Tomi Männistö
Casper Lassenius	Daniel Mendez Fernandez
Casper Lassenius	Marcos Kalinowski
Casper Lassenius	Nils Brede Moe
Casper Lassenius	Markku Oivo
Casper Lassenius	Desmond Greer
Casper Lassenius	Magne Jørgensen
Casper Lassenius	Stefan Wagner
Casper Lassenius	Jeffrey Carver
Casper Lassenius	Dietmar Pfahl
Casper Lassenius	Rafael Prikladnicki
Eray Tüzün	Michael Felderer
Eray Tüzün	Marcos Kalinowski
Eray Tüzün	Dietmar Pfahl
Eray Tüzün	Rafael Prikladnicki
Eray Tüzün	Carolyn Seaman
Eray Tüzün	Qing Wang
Eray Tüzün	Hakan Erdogmus
Eray Tüzün	Robert Feldt
Eray Tüzün	Burak Turhan
Eray Tüzün	Maria Teresa Baldassarre
Eray Tüzün	Stefan Biffl
Eray Tüzün	Rogardt Heldal
Eray Tüzün	Marcela Genero
Nauman bin Ali	Marcos Kalinowski
Nauman bin Ali	Dietmar Pfahl
Nauman bin Ali	Qing Wang
Nauman bin Ali	Maria Teresa Baldassarre
Nauman bin Ali	Paris Avgeriou
Nauman bin Ali	Minghui Zhou
Nauman bin Ali	Ayşe Başar
Nauman bin Ali	Ali Babar
Nauman bin Ali	He Zhang
Hakan Erdogmus	Michael Felderer
Hakan Erdogmus	Markku Oivo
Hakan Erdogmus	Magne Jørgensen
Hakan Erdogmus	Carolyn Seaman
Hakan Erdogmus	Robert Feldt
Hakan Erdogmus	Burak Turhan
Hakan Erdogmus	Maria Teresa Baldassarre
Hakan Erdogmus	Sira Vegas
Hakan Erdogmus	Stefan Biffl
Hakan Erdogmus	He Zhang
Hakan Erdogmus	Laurie Williams
Hakan Erdogmus	Maurizio Morisio
Robert Feldt	Michael Felderer
Robert Feldt	Daniel Mendez Fernandez
Robert Feldt	Markku Oivo
Robert Feldt	Stefan Wagner
Robert Feldt	Carolyn Seaman
Robert Feldt	Qing Wang
Robert Feldt	Per Runeson
Robert Feldt	Burak Turhan
Robert Feldt	Dag Sjøberg
Robert Feldt	Maria Teresa Baldassarre
Robert Feldt	Sira Vegas
Robert Feldt	Andreas Jedlitschka
Guilherme Travassos	Michael Felderer
Guilherme Travassos	Daniel Mendez Fernandez
Guilherme Travassos	Marcos Kalinowski
Guilherme Travassos	Nils Brede Moe
Guilherme Travassos	Jeffrey Carver
Guilherme Travassos	Rafael Prikladnicki
Guilherme Travassos	Maria Teresa Baldassarre
Guilherme Travassos	Rogardt Heldal
Guilherme Travassos	Marcela Genero
Guilherme Travassos	Sira Vegas
Guilherme Travassos	Maurizio Morisio
Guilherme Travassos	Per Runeson
Guilherme Travassos	Sandro Morasca
Guilherme Travassos	Victor Basili
Guilherme Travassos	Danilo Caivano
Guilherme Travassos	Martin Solari
Guilherme Travassos	Xavier Franch
Guilherme Travassos	Marcus Ciolkowski
Guilherme Travassos	Fabio Q.B. da Silva
Michael Felderer	Burak Turhan
Michael Felderer	Ayşe Başar
Michael Felderer	Stefan Biffl
Michael Felderer	Rogardt Heldal
Michael Felderer	Daniel Mendez Fernandez
Michael Felderer	Desmond Greer
Michael Felderer	Stefan Wagner
Michael Felderer	Clemente Izurieta
Michael Felderer	Marcela Genero
Michael Felderer	Dietmar Pfahl
Michael Felderer	Barbara Russo
Michael Felderer	Xavier Franch
Michael Felderer	Rafael Prikladnicki
Michael Felderer	Carolyn Seaman
Michael Felderer	Per Runeson
Michael Felderer	Tomi Männistö
Michael Felderer	Sira Vegas
Michael Felderer	Markku Oivo
Michael Felderer	Maria Teresa Baldassarre
Michael Felderer	Marcos Kalinowski
Michael Felderer	Andreas Jedlitschka
Michael Felderer	Jeffrey Carver
Markku Oivo	Tomi Männistö
Markku Oivo	Daniel Mendez Fernandez
Markku Oivo	Marcos Kalinowski
Markku Oivo	Burak Turhan
Markku Oivo	Ayşe Başar
Markku Oivo	He Zhang
Markku Oivo	Victor Basili
Markku Oivo	Dag Sjøberg
Markku Oivo	Danilo Caivano
Markku Oivo	Desmond Greer
Markku Oivo	Dieter Rombach
Markku Oivo	Stefan Wagner
Markku Oivo	Barbara Russo
Markku Oivo	Dietmar Pfahl
Markku Oivo	Rafael Prikladnicki
Markku Oivo	Xavier Franch
Markku Oivo	Audris Mockus
Markku Oivo	Per Runeson
Markku Oivo	Sira Vegas
Markku Oivo	Maurizio Morisio
Markku Oivo	Maria Teresa Baldassarre
Markku Oivo	Andreas Jedlitschka
Markku Oivo	Laurie Williams
Markku Oivo	Jeffrey Carver
Fabio Q.B. da Silva	Daniel Mendez Fernandez
Fabio Q.B. da Silva	Marcos Kalinowski
Fabio Q.B. da Silva	Nils Brede Moe
Fabio Q.B. da Silva	Rafael Prikladnicki
Fabio Q.B. da Silva	Carolyn Seaman
Fabio Q.B. da Silva	Maria Teresa Baldassarre
Fabio Q.B. da Silva	Marcela Genero
Fabio Q.B. da Silva	Ayşe Başar
Fabio Q.B. da Silva	Per Runeson
Fabio Q.B. da Silva	Andreas Jedlitschka
Fabio Q.B. da Silva	Jingyu Li
Fabio Q.B. da Silva	Oscar Pastor
Fabio Q.B. da Silva	Marcus Ciolkowski
Fabio Q.B. da Silva	Dan Port
Daniel Mendez Fernandez	Tomi Männistö
Daniel Mendez Fernandez	Burak Turhan
Daniel Mendez Fernandez	Minghui Zhou
Daniel Mendez Fernandez	Oscar Pastor
Daniel Mendez Fernandez	Stefan Biffl
Daniel Mendez Fernandez	Rogardt Heldal
Daniel Mendez Fernandez	He Zhang
Daniel Mendez Fernandez	Qing Wang
Daniel Mendez Fernandez	Maya Daneva
Daniel Mendez Fernandez	Desmond Greer
Daniel Mendez Fernandez	Magne Jørgensen
Daniel Mendez Fernandez	Dietmar Pfahl
Daniel Mendez Fernandez	Xavier Franch
Daniel Mendez Fernandez	Rafael Prikladnicki
Daniel Mendez Fernandez	Dan Port
Daniel Mendez Fernandez	Audris Mockus
Daniel Mendez Fernandez	Marcos Kalinowski
Daniel Mendez Fernandez	Andreas Jedlitschka
Daniel Mendez Fernandez	Laurie Williams
Daniel Mendez Fernandez	Jeffrey Carver
Andreas Jedlitschka	Tomi Männistö
Andreas Jedlitschka	Dietmar Pfahl
Andreas Jedlitschka	Burak Turhan
Andreas Jedlitschka	Maria Teresa Baldassarre
Andreas Jedlitschka	Ayşe Başar
Andreas Jedlitschka	He Zhang
Andreas Jedlitschka	Sira Vegas
Andreas Jedlitschka	Maurizio Morisio
Andreas Jedlitschka	Per Runeson
Andreas Jedlitschka	Dag Sjøberg
Andreas Jedlitschka	Dieter Rombach
Andreas Jedlitschka	Xavier Franch
Andreas Jedlitschka	Marcus Ciolkowski
Barbara Russo	Dietmar Pfahl
Barbara Russo	Qing Wang
Barbara Russo	Laurie Williams
Barbara Russo	Martin Solari
Barbara Russo	Sandro Morasca
Qing Wang	Nils Brede Moe
Qing Wang	Desmond Greer
Qing Wang	Stefan Wagner
Qing Wang	Jingyu Li
Qing Wang	Burak Turhan
Qing Wang	Minghui Zhou
Qing Wang	Ayşe Başar
Qing Wang	He Zhang
Qing Wang	Maya Daneva
Qing Wang	Ross Jeffery
Qing Wang	Dan Port
Qing Wang	Audris Mockus
Qing Wang	Ali Babar
Qing Wang	Laurie Williams
Per Runeson	Dietmar Pfahl
Per Runeson	Burak Turhan
Per Runeson	Maria Teresa Baldassarre
Per Runeson	Marcela Genero
Per Runeson	Dag Sjøberg
Per Runeson	Danilo Caivano
Maria Paasivaara	Jeffrey Carver
Maria Paasivaara	Nils Brede Moe
Clemente Izurieta	Carolyn Seaman
Clemente Izurieta	Paris Avgeriou
Clemente Izurieta	Laurie Williams
He Zhang	Nils Brede Moe
He Zhang	Dietmar Pfahl
He Zhang	Paris Avgeriou
He Zhang	Minghui Zhou
He Zhang	Ayşe Başar
He Zhang	Ali Babar
He Zhang	Jingyu Li
He Zhang	Oscar Pastor
He Zhang	Victor Basili
He Zhang	Maya Daneva
He Zhang	Ross Jeffery
He Zhang	Audris Mockus
He Zhang	Laurie Williams
Kenichi Matsumoto	Shinji Kusumoto
Kenichi Matsumoto	Koji Torii
Jingyu Li	Maria Teresa Baldassarre
Jingyu Li	Minghui Zhou
Jingyu Li	Maurizio Morisio
Jingyu Li	Audris Mockus
